GPT_4_MINI_Small_Batch_Freq_to_Infreq_10
Statistical analysis:
Total Guesses:,297
Total Akkadian Guesses:,296
Total Correct Akkadian Guesses:,185,Percent Correct Guesses:,0.625
Total Incorrect Akkadian Guesses:,111,Percent Incorrect Guesses:,0.375
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ina I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ina,1,1.0,0.0,
,i+na,1,1.0,0.0,
,in,1,1.0,0.0,
,iṣṣe₂riia,1,0.0,1.0,( iṣṣû I | tuša iṣṣe₂riia su₂uppaam teliia )
,iṣe₂ria,1,0.0,1.0,( iṣṣû I )
lā I,5,0.2,0.8
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,GEŠ₃.NU.ZU,1,0.0,1.0,( nâlu I | [MASK] {munus}AŠ₂.GAR₃ GEŠ₃.NU.ZU BABBAR u GE₆ {giš}GAGMEŠ )
,NU.ZU,1,0.0,1.0,( nâlu I | {šim}{d}NIN.URTA ina KUŠ {munus}AŠ₂.GAR₃ GIŠ₃ NU.ZU ina KUŠ )
,BA.RA,1,0.0,1.0,( BA I | BE MUNUS U₃.TUma GEŠTUGMEŠšu₂ kilatuu BA.RA BUR₃MEŠ )
,NU.ŠE.GA,1,0.0,1.0,( nâlu I )
,MUNUS.NU.SI.SA₂,1,1.0,0.0,
ana I,5,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ina,1,0.0,1.0,( ina I | NIG₂.BAki mahratima ina šerim ina mahar {d}UTU IM NENNI A NENNI )
,amala₂,1,0.0,1.0,( amālu I | amala₂ te₂erti₂ka₃ )
,DIŠ,1,0.0,1.0,( šumma I | DIŠ KIMIN {giš}ŠINIG )
,{a}ana,1,1.0,0.0,
,ana{d}600paqadi,1,1.0,0.0,
ša I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,NIG₂.ŠU,1,0.0,1.0,( NIG I | [MASK] SILA₃ NIG₂.ŠU IGI.DU )
,ša₃ŠA₃ša₂,1,1.0,0.0,
,NIG₂.ŠUsu,1,0.0,1.0,( NIG I | [MASK] [MASK] [MASK] NIG₂.ŠUsu KURad₂ )
,ša(DA),1,1.0,0.0,
,{lu₂}ša₂UGUURU,1,1.0,0.0,
māru I,10,0.3,0.7
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,DUMUša₂,1,0.0,1.0,( DUMU I | [MASK] [MASK] ina SILA DUMUša₂ )
,DUMU.DUMU,1,0.0,1.0,( DUMU I | [MASK] DUMU.DUMU UNME ina KA )
,{lu₂}A.KINšu₂,1,0.0,1.0,( A.KIN I | MAŠ₂.GI₆ annitu₂ [MASK] emuru [MASK] ŠUMIN {lu₂}A.KINšu₂ )
