GPT_4_MINI_Small_Batch_Freq_to_Infreq_13
Statistical analysis:
Total Guesses:,432
Total Akkadian Guesses:,424
Total Correct Akkadian Guesses:,17,Percent Correct Guesses:,0.04009433962264151
Total Incorrect Akkadian Guesses:,407,Percent Incorrect Guesses:,0.9599056603773585
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
lā I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,la,2,0.0,1.0,( la | DIŠ [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ana LUGAL LUGALME GAMMEšu₂ la haassu AŠ.TE DABbat ) | ( la | DIŠ ina la ŠIDMEŠšu₂ KAN₅ UŠ₂MEŠ ina KUR GAL₂MEŠ LUGAL KI LUGAL ŠUBti₃ UNME KIMIN [MASK] ERIN₂ni LUGAL )
,la(LU),1,0.0,1.0,( la | panišu₂ la(LU) u₂sahhara )
,la₃,1,0.0,1.0,( la | BEma ina la₃ DUG₄.GAšu₂ la₃ )
,la₂,1,0.0,1.0,( la | šuma la₂ idi₂nunikum )
,laa,1,0.0,1.0,( la | dalat LU.LIM [MASK] [MASK] [MASK] [MASK] laa bani )
,GEŠ₃.NU.ZU,1,0.0,1.0,( GEŠ₃.NU.ZU | [MASK] {munus}AŠ₂.GAR₃ GEŠ₃.NU.ZU BABBAR u GE₆ {giš}GAGMEŠ )
,BA.RA,1,0.0,1.0,( BA | BE MUNUS U₃.TUma GEŠTUG 15šu₂ BA.RA BUR₃at SAG.KALMEŠ ERIN₂MU ŠUBMEŠ )
,NU.ŠE.GA,1,0.0,1.0,( NU.ŠE.GA )
,IGI.NU.TUKU,1,0.0,1.0,( IGI | BE MUNUS IGI.NU.TUKU U₃.TU KUR E₂ LU₂ NU SI.SA₂ )
bēlu I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{d}EN,1,0.0,1.0,( EN | [MASK] [MASK] {d}EN u {d}GAŠANia₂ )
,EN.EN,1,0.0,1.0,( EN.EN | uštarrah EN EN.EN )
,beli₂ia,1,0.0,1.0,( bēlu | [MASK] beli₂ia [MASK] banika )
,beli₂šu₂,1,0.0,1.0,( bēlu | ana LUGAL beli₂šu₂ )
,{m}{d}+ENDINiṭ,1,0.0,1.0,( ENDINiṭ | [MASK] [MASK] [MASK] IM {m}{d}+ENDINiṭ )
,be₂li,1,0.0,1.0,( bēlu | šuumma be₂li ata )
,ENkunu,1,0.0,1.0,( bēlu | {d}enlil₂ ENkunu )
,beli₂ša,1,0.0,1.0,( beli | [MASK] beli₂ša luteer [MASK] u₃ [MASK] anna )
,beelni,1,0.0,1.0,( bēlu | beelni elišu )
,{m}ENKURua,1,0.0,1.0,( bēlu | [MASK] limmu {m}ENKURua )
ana I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,an,1,0.0,1.0,( an | GI.IZI.LA₂ an ŠU LU₂.GIG GARma IZI ana nappaṭa ŠUB )
,amala₂,1,0.0,1.0,( amālu | amala₂ te₂erti₂ka₃ )
,aṣṣeriia,1,0.0,1.0,( aṣṣer | aṣṣeriia ihamuṭam )
,{m}ana,1,0.0,1.0,( mana | ṣupur {m}ana muhhi )
,aqa₂ti₂,1,0.0,1.0,( aqītu | KU₃.BABBAR aqa₂ti₂ )
,ZAG.TIL.LA.BI.ŠE₃,1,0.0,1.0,( ZAG.TIL.LA.BI.ŠE₃ | ša₂ NAGAR tiikpi ša₂ [MASK] ZAG.TIL.LA.BI.ŠE₃ )
,ša₂,1,0.0,1.0,( ša | Ašu₂ ša₂ )
,U₄.KUR.ŠE₃,1,0.0,1.0,( U₄.KUR.ŠE₃ | U₄.KUR.ŠE₃ LU₂.LU₂.RA )
,NIG₂.ZU.ŠE₃,1,0.0,1.0,( NIG₂.ZU.ŠE₃ | ABGAL NIG₂.ZU.ŠE₃ IGI.DU₈.A GUB.BA KIN mala {d}e₂a ibšimu KID₃.KID₃.DAMEŠ ŠER₃.KU₃.GAMEŠ )
,ana{d}600paqadi,1,0.0,1.0,( ana | [MASK] [MASK] [MASK] ana{d}600paqadi )
ša I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ša,1,0.0,1.0,( ša | ša taašpuₓ(PI)raam )
,ša₃,1,0.0,1.0,( ša | mannu ša₃ TUM₃ u ša₂ šume SARru₃ ša₂kin )
,NIG₂.ŠU,1,0.0,1.0,( NIG₂.ŠU | [MASK] SILA₃ NIG₂.ŠU IGI.DU )
,{lu₂}SAGMEŠ,1,0.0,1.0,( SAGMEŠ | anina {lu₂}SAGMEŠ lu la ekiik )
,LU₂.SAGtišu₂,1,0.0,1.0,( SAG | ana LU₂.SAGtišu₂ kiniš )
