GPT_4_MINI_Small_Batch_Freq_to_Infreq_12
Statistical analysis:
Total Guesses:,424
Total Akkadian Guesses:,424
Total Correct Akkadian Guesses:,2,Percent Correct Guesses:,0.0047169811320754715
Total Incorrect Akkadian Guesses:,422,Percent Incorrect Guesses:,0.9952830188679245
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ina I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ina,1,0.0,1.0,( ina | DUNGU MINma ina {im}U₁₈ u {im}KUR )
,iṣeer,1,0.0,1.0,( iṣūr | ṣarupa₂am iṣeer )
,i,2,0.0,1.0,( ištu | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ataadlaah i ) | ( ištu | [MASK] [MASK] [MASK] [MASK] i zeriim )
,ingiippi,1,0.0,1.0,( ingiippu | SIK₂ BABBAR ša₂ kiṣir GIM ingiippi kaṣru ana )
,iṣe₂er,1,0.0,1.0,( išēr )
,iṣe₂ria,1,0.0,1.0,( išru )
,ina+kalli,1,0.0,1.0,( ina | I₃.UDU ELLAG₂ GU₄ ina+kalli gulgul LU₂.U₁₉.LU )
,ikisi₂a,2,0.0,1.0,( ikisi | u₃baal anaku ikisi₂a luušqu₂ul ) | ( ina | u₃baal anaku ikisi₂a luušqu₂ul )
lā I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,NU,1,0.0,1.0,( nu | DIŠ MIN NINDA u KAŠ NU ileem ana )
,la(LU),1,0.0,1.0,( lā | panišu₂ la(LU) u₂sahhara )
,NU₃,1,0.0,1.0,( nu | palih {d}anu {d}50 {d}e₂a NU₃ TUM₃šu₂ ina la )
,la₂,2,0.0,1.0,( lā | šuma la₂ idi₂nunikum ) | ( lā | šuma la₂ idi₂nunikum )
,laa,1,0.0,1.0,( lā | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] laa )
,GEŠ₃.NU.ZU,1,0.0,1.0,( nūzu | [MASK] {munus}AŠ₂.GAR₃ GEŠ₃.NU.ZU BABBAR u GE₆ {giš}GAGMEŠ )
,BA.RA,1,0.0,1.0,( bāru | BE MUNUS U₃.TUma GEŠTUGMEŠšu₂ kilatuu BA.RA BUR₃MEŠ )
,NU.ŠE.GA,1,0.0,1.0,( nūru )
,IGI.NU.TUKU,1,0.0,1.0,( lā | BE MUNUS IGI.NU.TUKU U₃.TU KUR E₂ LU₂ NU SI.SA₂ )
bēlu I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ENka,1,0.0,1.0,( enki | BE AN.TA IGI ENka )
,ENMEŠ,1,0.0,1.0,( bēlu | ša₂ {d}UTU ENMEŠ )
,belišu₂,1,0.0,1.0,( bēlu | dannu DINGIRMEŠ belišu₂ )
,ENiaama,1,0.0,1.0,( bēlu | ana LUGAL ENiaama )
,ENšu,1,0.0,1.0,( bēlu | UD {u₂}amurranu itebi ENšu ana KU₃.BABBAR SUMšu₂ )
,ENME,1,0.0,1.0,( bēlu | [MASK] [MASK] [MASK] DINGIRME ENME qula₂ati₃ AN [MASK] DINGIRMEŠ GALMEŠ atar )
,beli₂;ni,1,0.0,1.0,( bēlu | ana beli₂;ni )
,beelša₂,1,0.0,1.0,( bēlu | beelša₂ imuršima )
,beli₂šu₂nu,1,0.0,1.0,( bēlu | beli₂šu₂nu {d}+EN u {d}+AG )
,beli₂ia₃,1,0.0,1.0,( bēlu | [MASK] LUGAL beli₂ia₃ )
ša I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ša₂salamu,1,0.0,1.0,( šalāmu | [MASK] KU₄ub ša₂salamu )
,NIG₂.ŠU,1,0.0,1.0,( nigû | [MASK] SILA₃ NIG₂.ŠU IGI.DU )
,{lu₂}SAGMEŠ,1,0.0,1.0,( šarru | anina {lu₂}SAGMEŠ lu la ekiik )
,sa₂,1,0.0,1.0,( ša | sa₂ tabnuu₂ LU₂MEŠ )
,ša₃ŠA₃ša₂,1,0.0,1.0,( ša | [MASK] kabatti ša₃ŠA₃ša₂ NA₄ ubla )
,LU₂.NIG₂.EGIR.NI,1,0.0,1.0,( luššu )
,ša(|SILA₃.UD|),2,0.0,1.0,( ša | {d}nabium ša(|SILA₃.UD|) ullanuuššu {d}U.GUR la išakkan šibṭu ) | ( ša | {d}nabium ša(|SILA₃.UD|) ullanuuššu {d}U.GUR la išakkan šibṭu )
,{lu₂}ša₂UGUURU,1,0.0,1.0,( ša | ana {lu₂}ša₂UGUURU )
,ša₃ŠA₃ša₃,1,0.0,1.0,( ša | [MASK] [MASK] GIM ZA.NA NITA [MASK] [MASK] sa₃hiir [MASK] LU₂ ša₃ŠA₃ša₃ )
māru I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,mar,1,0.0,1.0,( mār | qarradu mar )
,DUMUšu₂,1,0.0,1.0,( dumu | U₄.14.KAM@v AN.GI₆ [MASK] [MASK] LUGAL ŠU₂ UŠ₂ma BALšu₂ TIL KURsu ZAH₂ [MASK] DUMUšu₂ )
,GENNA,1,0.0,1.0,( genna | [MASK] {lu₂}MAŠ.MAŠ GENNA )
,DUMUMEŠia,2,0.0,1.0,( dumum | [MASK] DUMUMEŠia ša₂ [MASK] {d}ningal {d}UTU {d}aa u {d}nuska ) | ( dumum | [MASK] DUMUMEŠia ša₂ [MASK] {d}ningal {d}UTU {d}aa u {d}nuska )
,DUMUMEŠšu₂,1,0.0,1.0,( dumum | [MASK] DUMUMEŠšu₂ GAZMEŠšu₂ )
,{lu₂}AKINMEŠ,1,0.0,1.0,( māru )
,maraki,1,0.0,1.0,( maraku | maraki galluu ul )
,maraša₂,1,0.0,1.0,( mārāšu | ša₂ {d}nintinug₅ga maraša₂ ana )
,DUMUMES,1,0.0,1.0,( dumum | [MASK] [MASK] DUMUMES IRI )
šamû I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ANe,1,0.0,1.0,( anû | SI GUB₃šu₂ ANe ṭerat GIGMEŠ TIMEŠ ina KUR GAL₂MEŠ )
,šamee,1,0.0,1.0,( šamû | šigar₃ šamee ellutu₄ [MASK] šulma liqbukum )
,ša₂muu₂,1,0.0,1.0,( šamû | {d}30 ar₂hu {d}30 ar₂haamma šimeruma ša₂muu₂ )
,šamuu₂,1,0.0,1.0,( šamû | DIŠ ina ŠA₃ URU [MASK] [MASK] šamuu₂ )
,ša₂mee,1,0.0,1.0,( šamû | ina ša₂mee ša₂aru iziqamma ina iin LU₂ siimme ištakan )
,šamu,1,0.0,1.0,( šamû | šamu ANnim )
,šamešaam,1,0.0,1.0,( šamû | iteli šamešaam )
,GIŠ{+ANu₂},1,0.0,1.0,( anû | DIŠ GIŠ{+ANu₂} [MASK] {im}UR₃{+ašamša₂tu₄} )
,ANMEŠ,1,0.0,1.0,( anû | ina {iti}APIN [MASK] GIN₇ [MASK] issi BURU₁₄ KUR ANMEŠ HAD₂MEŠ araar₂ )
,IN.ŠI.IN.SA₁₀,1,0.0,1.0,( šamû )
lū I,8,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,luu,2,0.0,1.0,( lu | [MASK] ša₂rat SAG.DU luu ) | ( lū | luu₂ ŠUBti ERIN₂ LUGAL ina amat DINGIR GAL₂u₂ u₃ luu ina {giš}TUKUL )
,lu,2,0.0,1.0,( lū | [MASK] šimti [MASK] lu ZI lu ) | ( lū | NU.MEŠMU lu ša₂ IM lu ša₂ )
,luu₂,2,0.0,1.0,( lū | ana I₇ luu₂ ) | ( lū | ŠU+MIN BALu₂ ušpelu luu₂ [MASK] luu₂ )
,lu₂u₂,2,0.0,1.0,( lū | lu₂u₂ tiidu ) | ( lū | lu₂u₂ tiidu )
šarru I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,LUGALME,1,0.0,1.0,( lugal | [MASK] [MASK] [MASK] GAMaš BEma MUL [MASK] [MASK] [MASK] LUGAL [MASK] [MASK] LUGALME [MASK] DU₃.A.BI )
,šarruumma,1,0.0,1.0,( šarru | [MASK] [MASK] šarruumma [MASK] šar )
,šarraam,1,0.0,1.0,( šarru | šarraam imhuurma )
,šarruum,1,0.0,1.0,( šarru | u₃ ša šarruum )
,LUGAL.MEŠ,1,0.0,1.0,( lugal | urrihi DINGIR ša LUGAL.MEŠ {d}AMAR.UTU )
,LUGALša₂,1,0.0,1.0,( lugal | BE MUNUS U₃.TUma [MASK] NITAMEŠ [MASK] MUNUSMEŠ [MASK] BI [MASK] LUGALša₂ ZAH₂ [MASK] EN E₂ )
,MANMEŠ,1,0.0,1.0,( manu | [MASK] u {d}šulpae₃ MANMEŠ tašimate )
,šar(ŠIR₃)ri,1,0.0,1.0,( šar | [MASK] {d}aa kallati [MASK] šar(ŠIR₃)ri )
,lugal,2,0.0,1.0,( lugal | lugal [MASK] [MASK] [MASK] iramuk ) | ( lugal | lugal [MASK] [MASK] [MASK] iramuk )
u I,8,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,u₃,2,0.0,1.0,( u | diinim u₃ biri išariiš apalaanni ) | ( u | ešeki {tug₂}SIG₂ki aṣbat GIM {tug₂}SIG₂ DINGIRMU u₃ )
