GPT_4_MINI_Small_Batch_Freq_to_Infreq_7
Statistical analysis:
Total Guesses:,279
Total Akkadian Guesses:,279
Total Correct Akkadian Guesses:,164,Percent Correct Guesses:,0.5878136200716846
Total Incorrect Akkadian Guesses:,115,Percent Incorrect Guesses:,0.4121863799283154
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
lā I,10,0.2,0.8
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,la,2,0.5,0.5,( lā | ša LUGALMEŠni alik mahriia mam₂ma šipru šuatu la )
,NU,1,0.0,1.0,( nū I | u₂tammika EGIRšu₂ NU GUR.RA )
,NU₃,1,0.0,1.0,( nū I | palih {d}anu {d}50 {d}e₂a NU₃ TUM₃šu₂ ina la )
,la₂,1,0.0,1.0,( lā | TUG₂{HI.A} la₂ te₂zibaam )
,GIŠ₃.NU.ZU,1,0.0,1.0,( bītu I | [MASK] GIŠ₃.NU.ZU )
,NU.ZU,1,0.0,1.0,( nū I | [MASK] NU.ZU [MASK] [MASK] NU.ZU )
,NU.ŠE.GA,1,0.0,1.0,( nūtu )
,la+a,2,0.5,0.5,( lā | ešru la+a )
bēlu I,10,0.5,0.5
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,beel,2,0.5,0.5,( bēlu | luu₂ asluu₂ beel kamri )
,belum,1,0.0,1.0,( bēlu | belum ana u₂šii )
,beli₂ia,1,1.0,0.0,
,ENia₂,1,1.0,0.0,
,ENu₂a,1,1.0,0.0,
,LUGAL.A.NE₂.ER,1,0.0,1.0,( šarru )
,beelkaama,1,1.0,0.0,
,EN.E,1,0.0,1.0,( EN I | EN₂ EN.E AN.EDENNA DU.ANI ŠIDnu KU₆ BARar₂ma )
,ENani,1,0.0,1.0,( bēlu | [MASK] ša₂ LUGAL ENani )
ana I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{m}ana,1,1.0,0.0,
,aqa₂ti₂,1,0.0,1.0,( aqītu I | KU₃.BABBAR aqa₂ti₂ )
,ZAG.TIL.LA.BI.ŠE₃,1,1.0,0.0,
,aṣeer,1,0.0,1.0,( aṣû I )
,ana{d}600paqadi,1,1.0,0.0,
māru I,10,0.2,0.8
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,DUMUME,1,0.0,1.0,( DUMU I | [MASK] [MASK] [MASK] [MASK] DUMUME [MASK] sibitti šu₂nu )
,Ašu₂ša₂,1,1.0,0.0,
,marašu₂,1,0.0,1.0,( marašu I | [MASK] {d}ŠU₂ marašu₂ )
,DUMU{uru}NINA,1,1.0,0.0,
,DUMUMEŠšu₂nu,1,0.0,1.0,( DUMU I | DUMUMEŠšu₂nu [MASK] DABMEŠma )
,marašu,1,0.0,1.0,( marašu I | ema iššuku marašu )
,marum,1,0.0,1.0,( mārū I | tidema atta marum )
,TURša₂,2,0.0,1.0,( TUR I | [MASK] MUNUS.GI₇ iššeguma TURša₂ ) | ( turu I | [MASK] MUNUS.GI₇ iššeguma TURša₂ )
,DUMUia,1,0.0,1.0,( DUMU I | ana tamarti {m}{d}MUŠ₃MUKAM{+eš} DUMUia ultu [MASK] SA₉ )
kīma I,5,0.8,0.2
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,kima,1,1.0,0.0,
,kima(GIŠ),1,1.0,0.0,
,GIN₇ma,1,0.0,1.0,( ginum I | [MASK] adiir GIN₇ma MUšu )
,GIMma,1,1.0,0.0,
,kiima,1,1.0,0.0,
mû I,10,0.8,0.2
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,A.MEŠ,1,1.0,0.0,
,A₂MEŠšu₂nu,1,1.0,0.0,
,AMEŠka,1,1.0,0.0,
,meešu,2,1.0,0.0,
,AMEŠšunuti₃,1,0.0,1.0,( ameš I | SUHUŠ {giš}MA.NU SUHUŠ ina NINDU UŠ₂er AMEŠšunuti₃ tusak₆ tukaṣ₃ṣa NAGma inaeš )
,A.BI,1,0.0,1.0,( ālu I | DIŠ KI.MIN {u₂}ŠAKIRA U₂ SA₅ {u₂}LAL GAZ A.BI taṣahat ina KAŠ NAGma inaeš )
,AMES,2,1.0,0.0,
,AGIN₇,1,1.0,0.0,
šamû I,5,0.8,0.2
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,šamee,1,1.0,0.0,
,ša₂mami,1,1.0,0.0,
,šamu,1,1.0,0.0,
,GIŠ{+ANu₂},1,1.0,0.0,
,ANMEŠ,1,0.0,1.0,( mū I | ina {iti}APIN [MASK] GIN₇ [MASK] issi BURU₁₄ KUR ANMEŠ HAD₂MEŠ araar₂ )
lū I,8,0.875,0.125
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,luu,2,0.5,0.5,( lu I | luu₂ ne₂šakku luu [MASK] ša₂ [MASK] u )
,lu,2,1.0,0.0,
