GPT_4_MINI_Small_Batch_Freq_to_Infreq_8
Statistical analysis:
Total Guesses:,281
Total Akkadian Guesses:,281
Total Correct Akkadian Guesses:,171,Percent Correct Guesses:,0.608540925266904
Total Incorrect Akkadian Guesses:,110,Percent Incorrect Guesses:,0.3914590747330961
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ina I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ina,1,1.0,0.0,
,iṣeer,1,0.0,1.0,( iṣṣû I | ṣarupa₂am iṣeer )
,iṣṣe₂riia,1,0.0,1.0,( iṣṣû I | tuša iṣṣe₂riia su₂uppaam teliia )
,i₃na,1,1.0,0.0,
,ina+kalli,1,1.0,0.0,
lā I,10,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,la,2,1.0,0.0,
,la(LU),1,1.0,0.0,
,la₃,1,1.0,0.0,
,la₂,1,1.0,0.0,
,GIŠ₃.NU.ZU,1,0.0,1.0,( GIŠ I | [MASK] {na₄}muṣa nikipta₅ KU.KU [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] SIG₂ SILA₄.GUB GIŠ₃.NU.ZU )
,BA.RA,1,0.0,1.0,( BA I | BE MUNUS U₃.TUma GEŠTUG 15šu₂ BA.RA BUR₃at SAG.KALMEŠ ERIN₂MU ŠUBMEŠ )
,NU.ŠE.GA,1,1.0,0.0,
,MUNUS.NU.SI.SA₂,1,0.0,1.0,( MUNUS I | [MASK] MUNUS.NU.SI.SA₂ )
,la+a,1,0.0,1.0,( la I | ešru la+a )
bēlu I,10,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,EN,1,1.0,0.0,
,beelkama,1,1.0,0.0,
,{m}{d}+ENDINiṭ,1,1.0,0.0,
,LUGAL.A.NE₂.ER,2,0.0,1.0,( LUGAL I ) | ( LUGAL I )
,beelkaama,1,1.0,0.0,
,ENE₂ma,1,0.0,1.0,( ENE I | GIŠKIM šii SIG₅ ul ša₂ ENE₂ma ša KUR kalaša₂ )
,ENE₂,1,0.0,1.0,( ENE I | NIG₂.TUKU UKU₂ ENE₂ BI LUGAL BI )
,ENša₂,1,1.0,0.0,
,beli₂ša,1,1.0,0.0,
ana I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,aṣṣeriia,1,0.0,1.0,( aṣṣû I | aṣṣeriia ihamuṭam )
,aqa₂ti₂,1,0.0,1.0,( aqātu I | KU₃.BABBAR aqa₂ti₂ )
,{a}ana,1,1.0,0.0,
,ana₂,1,1.0,0.0,
,ana{d}600paqadi,1,1.0,0.0,
ša I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ša₃,1,1.0,0.0,
