GPT_4_MINI_Small_Batch_Freq_to_Infreq_7
Statistical analysis:
Total Guesses:,123
Total Akkadian Guesses:,123
Total Correct Akkadian Guesses:,26,Percent Correct Guesses:,0.21138211382113822
Total Incorrect Akkadian Guesses:,97,Percent Incorrect Guesses:,0.7886178861788617
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas x20. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 24 high frequency, 16 low frequency, all sumerian/emesal. test batch size = 20. no small mistake correction, no common mistake correction, but negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
kaspu I,28,0.21428571428571427,0.7857142857142857
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,KU₃.BABBAR,1,0.0,1.0,( mū I | GIN₂ [MASK] [MASK] [MASK] KU₃.BABBAR ša₂ [MASK] ša₂ [MASK] ša₂ MU annit )
,KU₃.BABBARum,1,0.0,1.0,( māru I | u₃ KU₃.BABBARum )
,KU₃.BABBAR.A.AN,1,0.0,1.0,( mū I | ina {iti}GU₄ KU₃.BABBAR.A.AN GIN₂ )
,kasap,1,1.0,0.0,
,kas₃pi,1,1.0,0.0,
,KU₃.BI,1,0.0,1.0,( bītu I | KU₃.BI [MASK] [MASK] GIN₂ )
,KUG.BABBAR,1,0.0,1.0,( mū I | [MASK] [MASK] [MASK] [MASK] TUKU.TUKUši NA₄ KUG.BABBAR NA₄ KUG.SIG₁₇ {na₄}GUG )
,KU₃,1,0.0,1.0,( mū I | ½ GIN₂ KU₃ UZ₃ )
,KU₃.BABBARim,1,0.0,1.0,( māru I | GU₂.GAL ana KU₃.BABBARim )
,KU₃.BABBAR{+aʾ},1,0.0,1.0,( mū I | {iti}DU₆ KU₃.BABBAR{+aʾ} )
,KU₃.BABBARšu₂,1,0.0,1.0,( mū I | GIN₂ KU₃.BABBAR ina SAG.DU KU₃.BABBARšu₂ )
,KU₃.BABBAR.AM₃,1,0.0,1.0,( mū I | UD.21.KAM@v ša₂ {iti}NE KU₃.BABBAR.AM₃ )
,kasapšu₂,1,1.0,0.0,
,KU₃.BABBARMEŠ,1,0.0,1.0,( mū I | [MASK] UNMEŠ TURMEŠšina ana KU₃.BABBARMEŠ BUR₂MEŠ )
,kas₃sap,1,0.0,1.0,( kasāpu I | umma E₂ MU{+ti₃} ul SUM{+na}ma kas₃sap )
,KU₃.BABBAR{+ap₂},1,0.0,1.0,( mū I | KU₃.BABBAR KU₃.BABBAR{+ap₂} )
,KU₃+BABBAR,1,0.0,1.0,( māru I | [MASK] KU₃+BABBAR )
,KU₃.BABBAR{im},1,0.0,1.0,( mū I | GUR ŠE KU₃.BABBAR{im} )
,KU₃.BI{šu},1,0.0,1.0,( bītu I | I₃.GIŠ [MASK] ½ GIN₂ KU₃.BI{šu} )
,kaspa,1,1.0,0.0,
,kaspi,1,0.0,1.0,( kaspum I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] šeššet šiqlu kaspi išaqqal )
,{na₄}KU₃.BABBAR,1,0.0,1.0,( mū I | [MASK] {na₄}KU₃.BABBAR {na₄}KU₃.GI [MASK] [MASK] HUL MUŠ ana LU₂ NU )
,kaspu,1,1.0,0.0,
,KU₃.BABBARa₄,1,0.0,1.0,( mū I | KU₃.BABBARa₄ GIN₂ ana )
,kas₂pišu₂,1,1.0,0.0,
,kasaapša,1,0.0,1.0,( kasa I )
,KU₃(U).BABBAR,1,0.0,1.0,( babbar I | lašu KU₃(U).BABBAR URUDUMEŠ ana mithar )
,KU₃.BABBARMEŠki,1,0.0,1.0,( māru I | KU₃.BABBARMEŠki SUMnuukki mahrati )
naṣāru I,25,0.12,0.88
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,u₂ṣur,1,0.0,1.0,( ṣūru I | [MASK] u₂ṣur )
,naṣir,1,0.0,1.0,( naṣru I | naṣir napištiia mušabšuu NUMUNia )
,inaaṣṣaru,1,1.0,0.0,
,tattaṣar,1,0.0,1.0,( ṣar I | kii maaṣṣarta tattaṣar )
,naṣiru,1,0.0,1.0,( naṣru I | naṣiru AD.HALšu₂ )
,URU₃ma,1,0.0,1.0,( ālu I | KUR {d}UTU u MUL URU₃ma )
,URI₃ma,1,0.0,1.0,( ālu I | {d}30 AN.GE₆ GARnu URI₃ma IM mimma la )
,anaṣaru,1,0.0,1.0,( naṣru I | [MASK] anaṣaru )
,naṣaru,1,1.0,0.0,
,URI₃ar₂,1,0.0,1.0,( ālu I | [MASK] [MASK] [MASK] [MASK] [MASK] URI₃ar₂ )
,iṣṣurma,1,0.0,1.0,( iṣṣur I )
,naṣar,1,0.0,1.0,( naṣru I | [MASK] naṣar )
,luuṣṣur,1,0.0,1.0,( ṣu I | ṭuppir lumni u₂ṣur ZIti luuṣṣur kisallakama duutka lumid )
,aṣṣur,1,0.0,1.0,( aṣû I | SAGki lišira salimu aṣṣur [MASK] [MASK] tašmuu₂ u )
,šaṣi₂ri,1,0.0,1.0,( šasāru I )
,u₂ṣu₂ur,1,0.0,1.0,( uṣû I )
,nitaṣar,1,0.0,1.0,( nitaṣru I | maṣartu nitaṣar )
,itaṣaru,1,0.0,1.0,( ṭaṣāru I | mannu itaṣaru iršuu₂ )
,indanaaṣṣaruu₂,1,1.0,0.0,
,iṣṣur,1,0.0,1.0,( iṣṣur I | iṣṣur qadu )
